지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),적설(cm),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C)
108,서울,2021-01-01 01:00,-8.7,,2.4,270,68,1016.4,,,-6.9,-1,-.8
108,서울,2021-01-01 02:00,-9.1,,1.6,270,69,1016.2,,,-7.1,-1.1,-.8
108,서울,2021-01-01 03:00,-9.3,,1.1,250,70,1016.8,,,-7.3,-1.2,-.9
108,서울,2021-01-01 04:00,-9.3,,.3,0,71,1016.2,,,-7.5,-1.3,-1
108,서울,2021-01-01 05:00,-9.7,,1.9,20,72,1015.6,,,-7.6,-1.3,-1
108,서울,2021-01-01 06:00,-9.7,,2,50,75,1015.4,,,-7.4,-1.4,-1.1
108,서울,2021-01-01 07:00,-9.3,,1.6,50,71,1015.6,,,-6.8,-1.4,-1.1
108,서울,2021-01-01 08:00,-9.3,,1.6,50,72,1015.8,,,-7.3,-1.4,-1.1
108,서울,2021-01-01 09:00,-8.6,,2.5,20,74,1016.1,,,-6.2,-1.4,-1.2
108,서울,2021-01-01 10:00,-6.1,,1.1,50,68,1016.4,,,-3.4,-1.2,-1.1
108,서울,2021-01-01 11:00,-3.2,,1.7,70,55,1015.5,,,-.5,-.8,-1
108,서울,2021-01-01 12:00,-1.1,,2.1,200,52,1014.8,,,1.5,-.5,-.8
108,서울,2021-01-01 13:00,-.2,,3,250,56,1014,,,3.3,-.2,-.7
108,서울,2021-01-01 14:00,1.4,,1.6,200,53,1013.2,,,4.3,0,-.6
108,서울,2021-01-01 15:00,1.2,,2.6,270,52,1013.3,,,1.4,.1,-.5
108,서울,2021-01-01 16:00,-.2,,3.8,270,58,1013.6,,,-.2,.1,-.5
108,서울,2021-01-01 17:00,-.7,,1.8,250,61,1013.6,,,-.4,.2,-.4
108,서울,2021-01-01 18:00,-1.4,,2.1,250,68,1013.6,,,-.9,.1,-.4
108,서울,2021-01-01 19:00,-1.5,,2.4,250,70,1013.6,,,-1.2,.1,-.4
108,서울,2021-01-01 20:00,-1.6,,2.5,270,73,1013.8,,,-1.5,.1,-.4
108,서울,2021-01-01 21:00,-1.6,,2.3,270,66,1014.3,,,-1.4,.1,-.4
108,서울,2021-01-01 22:00,-1.8,,2.5,270,63,1014.7,,,-1.8,.1,-.4
108,서울,2021-01-01 23:00,-2.6,,1.9,250,55,1014.9,,,-2.8,0,-.4
108,서울,2021-01-02 00:00,-3.4,,2.5,320,55,1015,,,-3.8,-.1,-.5
